RespID,CostL,CostR,TimeL,TimeR,Chosen,Mode,Purpose,Gender,AgeClass,IncClass
1972,208,240,32,25,1,1,2,1,2,7
1972,238,240,28,25,2,1,2,1,2,7
1972,240,232,19,25,1,1,2,1,2,7
1972,240,261,32,25,1,1,2,1,2,7
1972,240,249,29,25,2,1,2,1,2,7
1972,253,240,22,25,2,1,2,1,2,7
1974,14,23,14,12,1,1,3,1,3,6
1974,18,14,12,14,2,1,3,1,3,6
1974,14,8,9,12,1,1,3,1,3,6
1974,13,14,13,12,2,1,3,1,3,6
1974,19,14,9,12,2,1,3,1,3,6
1974,13,14,12,10,2,1,3,1,3,6
1974,7,14,14,12,2,1,3,1,3,6
1974,14,28,16,14,1,1,3,1,3,6
1974,14,29,12,9,1,1,3,1,3,6
1989,112,110,60,76,1,1,1,1,3,5
1989,110,144,79,69,1,1,1,1,3,5
1989,110,55,60,77,2,1,1,1,3,5
1989,110,127,60,48,1,1,1,1,3,5
1989,110,107,54,60,2,1,1,1,3,5
1989,124,110,60,74,1,1,1,1,3,5
1989,55,110,70,60,1,1,1,1,3,5
1989,110,88,54,60,2,1,1,1,3,5
1989,154,110,50,60,2,1,1,1,3,5
2174,18,16,10,13,2,1,2,2,2,6
2174,9,18,9,7,1,1,2,2,2,6
2174,20,18,8,10,1,1,2,2,2,6
2174,17,18,10,9,1,1,2,2,2,6
2174,18,21,12,10,1,1,2,2,2,6
2174,22,18,10,11,2,1,2,2,2,6
2174,25,18,7,10,2,1,2,2,2,6
2174,9,18,10,8,1,1,2,2,2,6
2174,18,9,10,12,2,1,2,2,2,6
2297,105,93,15,18,1,1,1,1,3,6
2297,105,100,15,18,1,1,1,1,3,6
2297,101,105,15,13,2,1,1,1,3,6
2297,105,106,15,13,2,1,1,1,3,6
2297,105,96,11,15,1,1,1,1,3,6
2297,105,107,19,15,2,1,1,1,3,6
2297,105,125,18,15,2,1,1,1,3,6
2297,105,112,19,17,2,1,1,1,3,6
2297,105,111,15,11,2,1,1,1,3,6
2607,23,19,19,21,2,1,3,2,3,4
2607,23,16,25,30,2,1,3,2,3,4
2607,26,23,25,30,2,1,3,2,3,4
2607,35,23,18,25,2,1,3,2,3,4
2607,23,29,30,25,1,1,3,2,3,4
2607,23,40,25,22,1,1,3,2,3,4
2607,21,23,25,18,1,1,3,2,3,4
2607,11,23,25,20,1,1,3,2,3,4
2607,14,23,29,25,1,1,3,2,3,4
2886,140,144,60,48,2,1,1,2,4,3
2886,140,132,60,74,1,1,1,2,4,3
2886,140,170,79,69,1,1,1,2,4,3
2886,148,140,60,67,2,1,1,2,4,3
2886,128,140,60,50,1,1,1,2,4,3
2886,140,107,60,66,2,1,1,2,4,3
2886,101,140,60,50,1,1,1,2,4,3
2886,140,224,78,60,1,1,1,2,4,3
2886,140,189,60,44,1,1,1,2,4,3
3090,16,32,26,20,1,1,2,1,3,5
3090,41,32,23,28,2,1,2,1,3,5
3090,39,32,20,24,2,1,2,1,3,5
3090,16,32,20,15,1,1,2,1,3,5
3090,27,32,20,17,1,1,2,1,3,5
3090,16,32,22,20,1,1,2,1,3,5
3090,32,33,23,20,1,1,2,1,3,5
3090,32,33,20,18,1,1,2,1,3,5
3090,50,32,15,20,2,1,2,1,3,5
3473,39,63,25,21,1,1,2,2,3,5
3473,63,104,25,19,1,1,2,2,3,5
3473,63,65,32,25,2,1,2,2,3,5
3473,63,66,28,25,2,1,2,2,3,5
3473,63,72,25,22,1,1,2,2,3,5
3473,60,63,31,25,2,1,2,2,3,5
3473,63,36,18,25,2,1,2,2,3,5
3473,55,63,21,15,2,1,2,2,3,5
3473,55,63,30,25,2,1,2,2,3,5
3602,36,72,35,30,1,1,4,2,3,4
3602,36,46,30,22,2,1,4,2,3,4
3602,36,18,21,26,2,1,4,2,3,4
3602,36,33,25,30,1,1,4,2,3,4
3602,36,44,33,30,1,1,4,2,3,4
3602,37,36,23,30,1,1,4,2,3,4
3602,36,31,30,34,1,1,4,2,3,4
3602,18,36,30,23,1,1,4,2,3,4
3602,18,36,39,30,1,1,4,2,3,4
3662,6,13,12,10,1,1,4,2,4,4
3662,13,15,13,12,1,1,4,2,4,4
3662,6,13,10,9,1,1,4,2,4,4
3662,17,13,8,10,2,1,4,2,4,4
3662,12,13,12,10,2,1,4,2,4,4
3662,13,12,9,10,1,1,4,2,4,4
3662,19,13,10,12,2,1,4,2,4,4
3662,13,16,13,10,1,1,4,2,4,4
3662,13,20,10,7,1,1,4,2,4,4
4079,33,37,26,20,2,1,1,1,4,3
4079,17,33,20,17,1,1,1,1,4,3
4079,32,33,20,15,2,1,1,1,4,3
4079,39,33,18,20,2,1,1,1,4,3
4079,39,33,20,24,2,1,1,1,4,3
4079,33,29,20,24,2,1,1,1,4,3
4079,39,33,23,25,2,1,1,1,4,3
4079,33,17,20,25,2,1,1,1,4,3
4079,52,33,18,20,2,1,1,1,4,3
4237,11,23,13,9,1,1,4,1,4,7
4237,11,23,15,11,1,1,4,1,4,7
4237,23,22,15,18,1,1,4,1,4,7
4237,23,38,15,13,1,1,4,1,4,7
4237,23,38,19,15,1,1,4,1,4,7
4237,23,25,15,12,2,1,4,1,4,7
4237,23,19,12,15,1,1,4,1,4,7
4237,23,24,18,15,2,1,4,1,4,7
4237,19,23,17,15,1,1,4,1,4,7
4317,54,62,38,30,2,1,1,1,4,8
4317,54,36,25,30,1,1,1,1,4,8
4317,54,27,30,35,1,1,1,1,4,8
4317,56,54,26,30,1,1,1,1,4,8
4317,27,54,30,23,2,1,1,1,4,8
4317,57,54,30,37,1,1,1,1,4,8
4317,51,54,33,30,2,1,1,1,4,8
4317,58,54,35,43,1,1,1,1,4,8
4317,79,54,21,30,1,1,1,1,4,8
4651,89,81,36,45,1,1,4,1,3,7
4651,72,81,45,39,2,1,4,1,3,7
4651,81,162,57,45,1,1,4,1,3,7
4651,81,91,56,52,1,1,4,1,3,7
4651,83,81,45,54,1,1,4,1,3,7
4651,77,81,57,45,2,1,4,1,3,7
4651,41,81,55,45,1,1,4,1,3,7
4651,52,81,45,37,1,1,4,1,3,7
4651,81,91,45,40,1,1,4,1,3,7
5007,32,36,52,45,2,1,1,1,3,8
5007,47,36,45,50,2,1,1,1,3,8
5007,18,36,56,45,1,1,1,1,3,8
5007,36,56,58,45,1,1,1,1,3,8
5007,72,36,52,65,2,1,1,1,3,8
5007,38,36,39,45,1,1,1,1,3,8
5007,18,36,45,35,1,1,1,1,3,8
5007,36,23,32,45,1,1,1,1,3,8
5007,72,36,36,45,2,1,1,1,3,8
5049,21,41,17,14,2,1,2,1,2,5
5049,21,13,12,15,1,1,2,1,2,5
5049,20,21,12,10,2,1,2,1,2,5
5049,38,21,12,15,1,1,2,1,2,5
5049,21,23,14,12,2,1,2,1,2,5
5049,18,21,12,11,2,1,2,1,2,5
5049,10,21,15,12,2,1,2,1,2,5
5049,21,22,12,10,2,1,2,1,2,5
5049,21,33,12,9,2,1,2,1,2,5
5073,14,11,11,14,1,1,1,2,3,4
5073,14,11,13,14,2,1,1,2,3,4
5073,11,10,11,13,2,1,1,2,3,4
5073,11,5,10,11,2,1,1,2,3,4
5073,11,7,9,11,2,1,1,2,3,4
5073,7,11,13,11,1,1,1,2,3,4
5073,11,12,13,11,1,1,1,2,3,4
5073,11,15,11,10,1,1,1,2,3,4
5073,11,22,11,8,1,1,1,2,3,4
5125,46,23,29,40,2,1,1,1,3,6
5125,46,30,47,58,2,1,1,1,3,6
5125,54,46,47,61,1,1,1,1,3,6
5125,79,46,33,47,2,1,1,1,3,6
5125,46,69,55,47,1,1,1,1,3,6
5125,46,90,47,38,1,1,1,1,3,6
5125,40,46,47,42,1,1,1,1,3,6
5125,42,46,47,41,1,1,1,1,3,6
5125,23,46,58,47,1,1,1,1,3,6
5779,34,48,26,20,1,1,2,1,3,5
5779,34,55,20,15,1,1,2,1,3,5
5779,34,33,20,22,1,1,2,1,3,5
5779,33,34,20,18,2,1,2,1,3,5
5779,34,35,27,23,2,1,2,1,3,5
5779,28,34,20,16,1,1,2,1,3,5
5779,29,34,24,20,1,1,2,1,3,5
5779,66,34,20,25,2,1,2,1,3,5
5779,34,63,20,16,1,1,2,1,3,5
6009,30,32,25,20,2,1,1,1,3,9
6009,15,30,20,14,2,1,1,1,3,9
6009,30,26,18,20,1,1,1,1,3,9
6009,30,36,20,15,2,1,1,1,3,9
6009,30,32,25,20,2,1,1,1,3,9
6009,30,22,20,23,1,1,1,1,3,9
6009,28,30,17,11,2,1,1,1,3,9
6009,39,30,16,20,1,1,1,1,3,9
6009,30,15,20,24,2,1,1,1,3,9
6221,114,81,35,41,2,1,1,1,2,8
6221,114,99,35,44,2,1,1,1,2,8
6221,104,114,35,27,1,1,1,1,2,8
6221,114,117,35,31,1,1,1,1,2,8
6221,114,90,27,35,2,1,1,1,2,8
6221,114,118,40,35,1,1,1,1,2,8
6221,114,200,45,35,1,1,1,1,2,8
6221,114,121,49,40,1,1,1,1,2,8
6221,114,121,35,30,1,1,1,1,2,8
6536,16,8,13,15,1,1,2,2,4,3
6536,24,16,11,15,1,1,2,2,4,3
6536,16,13,12,15,1,1,2,2,4,3
6536,16,27,17,15,2,1,2,2,4,3
6536,12,16,18,15,2,1,2,2,4,3
6536,18,16,15,19,1,1,2,2,4,3
6536,18,16,12,15,1,1,2,2,4,3
6536,8,16,13,11,1,1,2,2,4,3
6536,9,16,19,15,1,1,2,2,4,3
6625,63,60,35,43,1,1,2,1,4,4
6625,51,63,35,30,1,1,2,1,4,4
6625,63,86,50,40,1,1,2,1,4,4
6625,63,55,29,35,2,1,2,1,4,4
6625,59,63,41,35,2,1,2,1,4,4
6625,80,63,25,35,2,1,2,1,4,4
6625,112,63,35,44,2,1,2,1,4,4
6625,79,63,35,39,2,1,2,1,4,4
6625,63,95,35,25,1,1,2,1,4,4
7374,17,18,11,10,2,1,1,2,2,4
7374,17,12,6,9,2,1,1,2,2,4
7374,17,16,8,10,1,1,1,2,2,4
7374,16,17,12,10,2,1,1,2,2,4
7374,8,17,10,7,1,1,1,2,2,4
7374,33,17,10,13,2,1,1,2,2,4
7374,17,26,10,8,1,1,1,2,2,4
7374,18,17,9,10,1,1,1,2,2,4
7374,17,10,10,12,2,1,1,2,2,4
7531,20,18,12,14,1,1,4,1,3,5
7531,18,36,15,12,1,1,4,1,3,5
7531,10,18,12,10,1,1,4,1,3,5
7531,18,16,12,15,1,1,4,1,3,5
7531,19,18,11,12,1,1,4,1,3,5
7531,16,18,12,10,1,1,4,1,3,5
7531,36,18,9,12,2,1,4,1,3,5
7531,18,9,8,10,2,1,4,1,3,5
7531,10,18,15,12,1,1,4,1,3,5
7912,155,150,50,57,1,1,4,2,3,3
7912,239,150,39,50,2,1,4,2,3,3
7912,150,248,50,37,1,1,4,2,3,3
7912,150,155,65,50,2,1,4,2,3,3
7912,128,150,43,33,2,1,4,2,3,3
7912,128,150,50,40,1,1,4,2,3,3
7912,139,150,50,43,2,1,4,2,3,3
7912,138,150,62,50,2,1,4,2,3,3
7912,150,121,50,58,1,1,4,2,3,3
8124,22,24,20,17,1,1,2,1,3,6
8124,22,23,15,13,2,1,2,1,3,6
8124,22,16,12,15,2,1,2,1,3,6
8124,11,22,18,15,1,1,2,1,3,6
8124,21,22,17,15,2,1,2,1,3,6
8124,22,18,12,15,2,1,2,1,3,6
8124,22,37,19,15,1,1,2,1,3,6
8124,22,26,18,15,1,1,2,1,3,6
8124,43,22,11,15,2,1,2,1,3,6
8189,40,39,16,20,2,1,1,1,5,4
8189,40,39,20,23,2,1,1,1,5,4
8189,24,40,17,13,1,1,1,1,5,4
8189,45,40,14,20,2,1,1,1,5,4
8189,69,40,20,24,2,1,1,1,5,4
8189,40,69,24,20,1,1,1,1,5,4
8189,40,35,18,20,2,1,1,1,5,4
8189,49,40,14,20,2,1,1,1,5,4
8189,40,30,20,23,2,1,1,1,5,4
8536,62,66,30,22,2,1,2,2,4,4
8536,62,54,30,37,1,1,2,2,4,4
8536,62,53,30,34,2,1,2,2,4,4
8536,62,52,23,30,2,1,2,2,4,4
8536,122,62,30,39,2,1,2,2,4,4
8536,64,62,35,38,1,1,2,2,4,4
8536,62,45,24,30,2,1,2,2,4,4
8536,81,62,30,33,2,1,2,2,4,4
8536,64,62,25,30,1,1,2,2,4,4
8714,22,19,15,17,2,1,1,1,5,3
8714,32,19,11,15,2,1,1,1,5,3
8714,19,12,10,13,2,1,1,1,5,3
8714,19,17,15,18,2,1,1,1,5,3
8714,14,19,15,11,1,1,1,1,5,3
8714,19,38,15,11,1,1,1,1,5,3
8714,19,18,12,15,2,1,1,1,5,3
8714,19,25,17,15,1,1,1,1,5,3
8714,19,10,15,17,2,1,1,1,5,3
8805,41,81,30,23,1,1,2,1,4,5
8805,81,69,30,33,2,1,2,1,4,5
8805,76,81,30,25,2,1,2,1,4,5
8805,81,88,35,30,1,1,2,1,4,5
8805,81,78,30,37,1,1,2,1,4,5
8805,111,81,30,39,2,1,2,1,4,5
8805,81,84,30,22,2,1,2,1,4,5
8805,88,81,35,40,2,1,2,1,4,5
8805,81,109,30,27,1,1,2,1,4,5
8932,19,18,10,11,1,1,1,1,4,7
8932,30,19,8,10,2,1,1,1,4,7
8932,26,19,10,12,2,1,1,1,4,7
8932,20,19,10,11,1,1,1,1,4,7
8932,19,15,6,9,2,1,1,1,4,7
8932,19,23,10,7,1,1,1,1,4,7
8932,19,18,8,10,1,1,1,1,4,7
8932,10,19,10,7,1,1,1,1,4,7
8932,19,16,10,12,1,1,1,1,4,7
8944,9,5,12,14,2,1,4,1,3,9
8944,9,8,12,13,1,1,4,1,3,9
8944,5,9,12,9,1,1,4,1,3,9
8944,9,14,12,9,1,1,4,1,3,9
8944,9,8,9,12,1,1,4,1,3,9
8944,9,11,14,12,1,1,4,1,3,9
8944,9,18,14,12,1,1,4,1,3,9
8944,9,18,17,14,1,1,4,1,3,9
8944,9,18,12,9,1,1,4,1,3,9
8973,73,76,25,19,2,1,1,1,4,5
8973,73,74,28,25,2,1,1,1,4,5
8973,105,73,25,30,2,1,1,1,4,5
8973,65,73,29,25,1,1,1,1,4,5
8973,73,65,18,25,1,1,1,1,4,5
8973,51,73,32,25,1,1,1,1,4,5
8973,73,89,34,29,1,1,1,1,4,5
8973,73,36,20,25,2,1,1,1,4,5
8973,73,76,25,21,2,1,1,1,4,5
8979,25,31,24,20,2,1,1,1,4,4
8979,18,31,17,13,1,1,1,1,4,4
8979,31,61,26,20,1,1,1,1,4,4
8979,22,31,20,17,1,1,1,1,4,4
8979,26,31,20,14,2,1,1,1,4,4
8979,48,31,17,20,2,1,1,1,4,4
8979,32,31,20,24,1,1,1,1,4,4
8979,31,34,20,16,2,1,1,1,4,4
8979,31,26,20,23,2,1,1,1,4,4
8987,18,36,20,17,2,1,2,2,3,4
8987,36,44,20,14,2,1,2,2,3,4
8987,36,46,24,20,2,1,2,2,3,4
8987,36,58,25,20,2,1,2,2,3,4
8987,36,37,20,17,2,1,2,2,3,4
8987,34,36,24,20,1,1,2,2,3,4
8987,36,27,15,20,2,1,2,2,3,4
8987,30,36,17,14,2,1,2,2,3,4
8987,33,36,23,20,2,1,2,2,3,4
9012,55,54,35,39,1,1,1,1,5,4
9012,54,50,24,30,2,1,1,1,5,4
9012,48,54,43,35,2,1,1,1,5,4
9012,33,54,35,27,1,1,1,1,5,4
9012,54,27,25,35,2,1,1,1,5,4
9012,54,96,35,30,1,1,1,1,5,4
9012,108,54,35,45,2,1,1,1,5,4
9012,54,61,35,30,1,1,1,1,5,4
9012,54,47,35,41,1,1,1,1,5,4
9020,137,159,94,75,1,1,1,1,3,2
9020,221,159,75,83,2,1,1,1,3,2
9020,80,159,91,75,1,1,1,1,3,2
9020,159,170,95,75,2,1,1,1,3,2
9020,190,159,86,103,2,1,1,1,3,2
9020,168,159,64,75,2,1,1,1,3,2
9020,103,159,75,61,1,1,1,1,3,2
9020,159,149,63,75,1,1,1,1,3,2
9020,190,159,59,75,2,1,1,1,3,2
9032,20,18,25,30,2,1,1,2,4,2
9032,18,9,30,39,1,1,1,2,4,2
9032,13,18,30,24,1,1,1,2,4,2
9032,9,18,37,30,2,1,1,2,4,2
9032,36,18,30,33,2,1,1,2,4,2
9032,18,9,26,30,2,1,1,2,4,2
9032,18,30,43,35,2,1,1,2,4,2
9032,18,36,38,30,2,1,1,2,4,2
9032,25,18,24,30,2,1,1,2,4,2
9072,49,25,14,17,2,1,2,1,3,4
9072,27,25,12,14,2,1,2,1,3,4
9072,25,22,9,12,2,1,2,1,3,4
9072,25,22,14,17,2,1,2,1,3,4
9072,24,25,14,12,1,1,2,1,3,4
9072,25,31,14,10,1,1,2,1,3,4
9072,25,23,11,14,2,1,2,1,3,4
9072,25,36,18,14,1,1,2,1,3,4
9072,25,13,14,16,2,1,2,1,3,4
9186,36,18,12,16,2,1,4,2,3,11
9186,16,18,13,12,1,1,4,2,3,11
9186,18,19,12,11,1,1,4,2,3,11
9186,18,12,7,10,2,1,4,2,3,11
9186,14,18,12,9,1,1,4,2,3,11
9186,29,18,12,14,2,1,4,2,3,11
9186,20,18,9,12,2,1,4,2,3,11
9186,17,18,12,9,2,1,4,2,3,11
9186,11,18,14,12,1,1,4,2,3,11
9194,40,45,25,20,1,1,2,2,3,4
9194,40,24,17,20,2,1,2,2,3,4
9194,40,54,20,15,1,1,2,2,3,4
9194,46,40,14,20,1,1,2,2,3,4
9194,40,35,15,20,1,1,2,2,3,4
9194,51,40,20,23,2,1,2,2,3,4
9194,40,38,20,22,2,1,2,2,3,4
9194,40,38,14,17,2,1,2,2,3,4
9194,23,40,23,20,1,1,2,2,3,4
9231,63,71,52,46,1,1,1,2,3,4
9231,76,63,30,40,1,1,1,2,3,4
9231,63,32,36,40,2,1,1,2,3,4
9231,54,63,40,30,2,1,1,2,3,4
9231,63,66,51,40,2,1,1,2,3,4
9231,63,74,45,40,1,1,1,2,3,4
9231,63,62,40,46,1,1,1,2,3,4
9231,63,32,40,47,2,1,1,2,3,4
9231,93,63,32,40,2,1,1,2,3,4
9257,22,24,14,12,1,1,4,2,4,5
9257,11,22,10,7,1,1,4,2,4,5
9257,20,22,12,10,1,1,4,2,4,5
9257,19,22,11,10,1,1,4,2,4,5
9257,22,24,12,10,1,1,4,2,4,5
9257,22,23,10,8,1,1,4,2,4,5
9257,22,20,8,10,2,1,4,2,4,5
9257,22,43,13,10,1,1,4,2,4,5
9257,25,22,9,10,2,1,4,2,4,5
9258,14,16,12,8,2,1,1,2,5,4
9258,14,20,15,12,2,1,1,2,5,4
9258,22,14,12,14,1,1,1,2,5,4
9258,7,14,15,12,2,1,1,2,5,4
9258,14,12,9,12,2,1,1,2,5,4
9258,7,14,14,12,2,1,1,2,5,4
9258,14,16,16,14,2,1,1,2,5,4
9258,14,13,11,12,2,1,1,2,5,4
9258,14,16,12,10,2,1,1,2,5,4
9395,12,13,10,8,2,1,2,2,3,4
9395,6,13,9,6,1,1,2,2,3,4
9395,13,12,10,13,1,1,2,2,3,4
9395,15,13,8,10,2,1,2,2,3,4
9395,14,13,10,11,2,1,2,2,3,4
9395,13,18,10,9,1,1,2,2,3,4
9395,23,13,10,12,2,1,2,2,3,4
9395,6,13,10,7,1,1,2,2,3,4
9395,6,13,12,10,1,1,2,2,3,4
9443,136,108,67,87,2,1,3,1,4,5
9443,108,58,67,81,2,1,3,1,4,5
9443,103,108,67,53,2,1,3,1,4,5
9443,108,196,91,77,1,1,3,1,4,5
9443,93,108,78,67,2,1,3,1,4,5
9443,108,123,85,67,1,1,3,1,4,5
9443,108,74,58,67,2,1,3,1,4,5
9443,151,108,59,67,2,1,3,1,4,5
9443,108,185,67,55,1,1,3,1,4,5
9456,222,175,32,45,1,1,1,1,4,8
9456,185,175,45,55,1,1,1,1,4,8
9456,175,171,39,45,1,1,1,1,4,8
9456,175,121,35,45,1,1,1,1,4,8
9456,175,164,45,57,1,1,1,1,4,8
9456,196,175,52,61,1,1,1,1,4,8
9456,180,175,45,52,1,1,1,1,4,8
9456,159,175,53,45,2,1,1,1,4,8
9456,233,175,36,45,2,1,1,1,4,8
9634,104,140,75,55,1,1,1,1,5,6
9634,140,84,75,86,2,1,1,1,5,6
9634,133,140,75,59,2,1,1,1,5,6
9634,140,160,89,75,2,1,1,1,5,6
9634,140,135,75,97,1,1,1,1,5,6
9634,196,140,75,83,2,1,1,1,5,6
9634,140,160,75,57,2,1,1,1,5,6
9634,182,140,86,109,1,1,1,1,5,6
9634,140,162,75,63,1,1,1,1,5,6
9675,29,25,20,23,2,1,1,2,3,6
9675,25,38,26,20,1,1,1,2,3,6
9675,16,25,20,14,2,1,1,2,3,6
9675,25,24,20,24,1,1,1,2,3,6
9675,26,25,17,20,1,1,1,2,3,6
9675,13,25,20,16,1,1,1,2,3,6
9675,43,25,17,20,2,1,1,2,3,6
9675,25,22,14,17,1,1,1,2,3,6
9675,13,25,25,20,1,1,1,2,3,6
9682,27,20,16,20,2,1,4,1,4,2
9682,24,20,20,25,2,1,4,1,4,2
9682,20,17,16,20,2,1,4,1,4,2
9682,20,13,15,20,2,1,4,1,4,2
9682,20,14,20,24,2,1,4,1,4,2
9682,28,20,23,27,2,1,4,1,4,2
9682,25,20,20,22,2,1,4,1,4,2
9682,10,20,23,20,1,1,4,1,4,2
9682,40,20,15,20,2,1,4,1,4,2
9705,38,40,11,10,1,1,2,2,4,11
9705,41,40,10,12,2,1,2,2,4,11
9705,36,40,10,8,1,1,2,2,4,11
9705,40,47,13,10,1,1,2,2,4,11
9705,33,40,9,6,1,1,2,2,4,11
9705,40,49,10,8,1,1,2,2,4,11
9705,40,39,9,10,2,1,2,2,4,11
9705,54,40,8,10,2,1,2,2,4,11
9705,40,33,10,13,2,1,2,2,4,11
9709,9,14,36,30,1,1,1,2,4,6
9709,19,14,35,39,2,1,1,2,4,6
9709,20,14,30,39,1,1,1,2,4,6
9709,7,14,30,24,1,1,1,2,4,6
9709,12,14,30,25,2,1,1,2,4,6
9709,7,14,33,30,1,1,1,2,4,6
9709,14,23,37,30,1,1,1,2,4,6
9709,14,29,30,21,1,1,1,2,4,6
9709,29,14,27,30,2,1,1,2,4,6
9973,15,13,13,15,2,1,2,2,3,4
9973,13,25,19,15,1,1,2,2,3,4
9973,11,13,15,12,2,1,2,2,3,4
9973,13,10,15,18,2,1,2,2,3,4
9973,13,16,17,15,1,1,2,2,3,4
9973,6,13,15,12,1,1,2,2,3,4
9973,13,25,15,11,1,1,2,2,3,4
9973,10,13,13,10,2,1,2,2,3,4
9973,6,13,18,15,1,1,2,2,3,4
10063,11,17,30,23,2,1,1,2,2,4
10063,11,22,36,30,1,1,1,2,2,4
10063,11,5,21,30,1,1,1,2,2,4
10063,11,5,22,30,1,1,1,2,2,4
10063,11,7,30,33,1,1,1,2,2,4
10063,11,7,21,26,1,1,1,2,2,4
10063,11,13,34,30,2,1,1,2,2,4
10063,11,22,30,23,1,1,1,2,2,4
10063,5,11,35,30,1,1,1,2,2,4
10079,27,34,28,23,1,1,4,1,5,3
10079,28,27,17,20,2,1,4,1,5,3
10079,27,18,17,20,2,1,4,1,5,3
10079,24,27,20,18,1,1,4,1,5,3
10079,27,54,26,20,1,1,4,1,5,3
10079,27,32,24,20,1,1,4,1,5,3
10079,27,15,20,25,2,1,4,1,5,3
10079,27,15,20,22,2,1,4,1,5,3
10079,32,27,14,20,2,1,4,1,5,3
10159,14,28,10,8,1,1,2,2,3,4
10159,28,18,10,12,2,1,2,2,3,4
10159,24,28,10,9,1,1,2,2,3,4
10159,28,29,12,10,2,1,2,2,3,4
10159,28,27,10,11,1,1,2,2,3,4
10159,34,28,10,12,2,1,2,2,3,4
10159,28,29,10,7,2,1,2,2,3,4
10159,40,28,12,14,2,1,2,2,3,4
10159,28,30,10,7,2,1,2,2,3,4
10176,17,13,15,19,2,1,1,2,4,11
10176,16,17,15,12,1,1,1,2,4,11
10176,17,21,21,17,1,1,1,2,4,11
10176,17,8,13,15,2,1,1,2,4,11
10176,12,17,19,15,1,1,1,2,4,11
10176,20,17,13,15,2,1,1,2,4,11
10176,34,17,15,18,2,1,1,2,4,11
10176,19,17,15,19,2,1,1,2,4,11
10176,17,26,15,13,1,1,1,2,4,11
10206,54,108,109,90,2,1,1,1,4,7
10206,108,136,123,103,2,1,1,1,4,7
10206,108,168,109,90,1,1,1,1,4,7
10206,104,108,90,78,2,1,1,1,4,7
10206,108,141,90,67,2,1,1,1,4,7
10206,54,108,90,65,2,1,1,1,4,7
10206,108,96,90,103,1,1,1,1,4,7
10206,108,119,104,90,2,1,1,1,4,7
10206,108,216,90,72,1,1,1,1,4,7
10237,105,81,40,55,1,1,3,1,3,5
10237,41,81,55,40,1,1,3,1,3,5
10237,76,81,55,43,2,1,3,1,3,5
10237,81,99,55,43,2,1,3,1,3,5
10237,81,106,62,55,1,1,3,1,3,5
10237,81,162,66,55,1,1,3,1,3,5
10237,77,81,65,55,2,1,3,1,3,5
10237,41,81,47,36,1,1,3,1,3,5
10237,81,65,55,62,2,1,3,1,3,5
10247,45,43,32,38,1,1,3,2,4,4
10247,45,47,45,40,2,1,3,2,4,4
10247,23,45,45,32,2,1,3,2,4,4
10247,23,45,45,32,2,1,3,2,4,4
10247,89,45,45,55,2,1,3,2,4,4
10247,47,45,45,52,1,1,3,2,4,4
10247,33,45,56,45,1,1,3,2,4,4
10247,45,51,45,37,1,1,3,2,4,4
10247,23,45,51,45,1,1,3,2,4,4
10269,24,32,13,12,1,1,4,1,4,9
10269,24,26,10,8,2,1,4,1,4,9
